Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-11-15 14:51:19Z : PB = 204308480 : In   : -------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2023-11-15 14:51:31Z : PB = 319741952 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2023-11-15 14:51:31Z : PB = 319741952 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2023-11-15 14:51:31Z : PB = 319741952 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2023-11-15 14:51:33Z : PB = 291549184 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2023-11-15 14:51:33Z : PB = 291549184 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2023-11-15 14:51:33Z : PB = 291549184 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-11-15 14:52:42Z : PB = 330264576 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2023-11-15 14:52:42Z : PB = 331079680 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-11-15 14:52:42Z : PB = 331083776 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2023-11-15 14:52:42Z : PB = 331083776 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2023-11-15 14:52:42Z : PB = 330149888 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2023-11-15 14:52:42Z : PB = 330149888 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2023-11-15 14:52:42Z : PB = 330149888 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2023-11-15 14:52:42Z : PB = 330149888 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:42Z : PB = 330149888 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:42Z : PB = 330153984 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:42Z : PB = 330153984 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:42Z : PB = 330153984 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:42Z : PB = 333594624 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:42Z : PB = 333594624 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:42Z : PB = 333594624 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:42Z : PB = 333594624 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:42Z : PB = 333594624 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:42Z : PB = 333598720 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:42Z : PB = 333598720 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:42Z : PB = 333598720 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:42Z : PB = 337047552 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:42Z : PB = 337047552 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:42Z : PB = 337047552 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:42Z : PB = 337047552 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:42Z : PB = 337047552 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:42Z : PB = 337047552 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:42Z : PB = 337047552 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:42Z : PB = 337047552 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:43Z : PB = 340496384 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:43Z : PB = 340496384 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:43Z : PB = 340496384 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:43Z : PB = 340496384 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:43Z : PB = 340496384 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:43Z : PB = 340496384 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:43Z : PB = 340496384 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:43Z : PB = 340496384 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:43Z : PB = 341905408 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:43Z : PB = 341905408 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:43Z : PB = 341905408 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:43Z : PB = 341905408 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:43Z : PB = 342134784 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:43Z : PB = 342134784 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:43Z : PB = 341905408 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:43Z : PB = 341905408 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:43Z : PB = 341905408 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:43Z : PB = 341905408 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:43Z : PB = 341905408 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:43Z : PB = 341905408 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:43Z : PB = 341905408 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 343875584 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 343875584 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 343875584 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 343875584 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 343875584 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 343875584 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 343875584 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 343875584 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 349106176 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 349106176 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 349106176 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 349106176 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 349106176 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 349106176 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 349106176 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 349106176 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 354222080 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 354222080 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 354222080 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 354222080 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 354222080 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 354222080 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 354222080 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 354222080 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 357580800 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 357785600 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 357785600 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 357785600 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 357785600 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 357785600 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 357785600 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 357851136 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 364122112 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 364122112 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 364122112 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 364122112 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 364122112 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 364187648 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 364253184 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 364318720 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 375107584 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 375111680 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 375111680 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 375111680 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 375111680 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 375111680 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 375111680 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 375111680 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 379703296 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 379703296 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 379703296 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 379703296 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 379703296 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 379703296 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 379703296 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 379703296 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 385511424 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 385511424 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 385511424 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 385511424 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 385511424 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 385511424 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 385511424 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 385511424 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:44Z : PB = 391577600 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:44Z : PB = 391643136 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:44Z : PB = 391774208 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:44Z : PB = 391839744 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:44Z : PB = 391905280 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:44Z : PB = 391983104 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:44Z : PB = 391983104 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:44Z : PB = 391983104 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:45Z : PB = 398671872 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:45Z : PB = 398671872 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:45Z : PB = 398671872 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:45Z : PB = 398671872 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:45Z : PB = 398671872 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:45Z : PB = 398671872 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:45Z : PB = 398671872 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:45Z : PB = 398671872 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:45Z : PB = 403570688 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:45Z : PB = 403570688 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:45Z : PB = 403570688 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:45Z : PB = 403570688 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:45Z : PB = 403570688 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:45Z : PB = 403570688 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:45Z : PB = 403570688 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:45Z : PB = 403570688 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:45Z : PB = 409378816 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:45Z : PB = 409378816 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:45Z : PB = 409378816 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:45Z : PB = 409378816 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:45Z : PB = 409378816 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:45Z : PB = 409378816 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:45Z : PB = 409378816 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:45Z : PB = 409378816 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:45Z : PB = 415289344 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:45Z : PB = 415289344 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:45Z : PB = 415289344 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:45Z : PB = 415289344 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:45Z : PB = 415289344 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:45Z : PB = 415948800 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:45Z : PB = 415948800 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:45Z : PB = 415948800 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:45Z : PB = 422285312 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:45Z : PB = 422285312 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:45Z : PB = 422285312 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:52:45Z : PB = 422285312 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:52:45Z : PB = 422285312 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:52:45Z : PB = 422285312 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:52:45Z : PB = 422285312 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:52:45Z : PB = 422285312 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:52:45Z : PB = 429178880 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:52:45Z : PB = 429178880 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:52:45Z : PB = 429178880 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
